coorte,test,voto_diploma,tipo_scuola,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,ALG,data_ALG,ANII,data_ANII,MP,data_MP,PC,data_PC,BDSI,data_BDSI,CPS,data_CPS,FIS,data_FIS,SO,data_SO,CAL,data_CAL,IT,data_IT,CS,data_CS,IntC,data_IntC,RETI,data_RETI,CAz,data_CAz
2011,19,0,,123,111,26,25,2012-06-22,30,2013-09-19,25,2014-02-25,31,2012-06-22,19,2013-06-12,0,2013-09-30,26,2013-09-30,24,2013-09-30,28,2013-09-30,18,2014-02-25,26,2013-09-30,27,2013-07-01,0,0,0,2013-09-30,0,0,0,0,0,0,0,0,26,2013-09-30,0,0
2012,9,70,LS,59,54,26,0,0,0,0,0,0,0,0,0,0,0,2013-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,11,74,IT,180,159,26,30,2013-06-20,30,2014-02-28,29,2013-07-18,28,2013-07-18,20,2013-09-11,0,2013-04-16,27,2015-01-16,18,2014-07-14,30,2014-02-05,24,2014-09-10,23,2014-06-25,24,2014-02-05,30,2015-09-21,25,2014-07-17,24,2015-07-08,21,2016-02-24,0,0,30,2015-06-22,26,2015-02-09,0,2015-01-20
2012,12,76,XX,108,108,23,24,2013-09-19,26,2016-02-12,30,2013-07-31,21,2013-09-05,0,0,0,0,20,2014-10-07,18,2014-07-23,24,2015-02-16,31,2014-09-09,21,2014-09-21,18,2014-06-04,0,0,0,0,20,2015-06-09,0,0,0,0,26,2016-01-28,0,0,0,0
2012,13,70,LS,114,111,25,25,2015-09-17,27,2014-02-28,24,2015-09-03,26,2013-06-27,20,2013-07-31,0,2016-04-28,21,2014-01-16,28,2014-10-07,0,0,0,0,23,2015-06-16,26,2015-02-03,25,2014-07-23,24,2016-02-23,0,0,0,0,0,0,27,2016-02-25,0,0,0,0
2012,11,71,IT,150,144,26,30,2013-06-21,27,2013-07-24,31,2013-06-20,27,2013-09-05,20,2015-07-09,0,2013-04-16,23,2015-01-16,18,2014-07-14,27,2014-01-22,19,2014-02-24,28,2014-06-25,23,2014-02-05,26,2016-02-22,26,2014-07-17,0,0,0,0,0,0,26,2015-01-20,30,2015-01-22,0,2015-02-17
2012,14,69,IT,36,36,29,30,2013-07-11,0,0,31,2013-07-18,27,2014-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,21,78,XX,180,159,27,31,2013-06-20,24,2013-06-12,30,2013-06-20,31,2013-06-27,28,2013-07-30,0,2013-05-07,31,2014-01-21,18,2014-07-22,26,2014-01-22,30,2014-02-04,28,2014-06-16,30,2014-02-05,25,2015-02-19,28,2014-07-17,24,2015-07-07,25,2015-07-27,0,0,28,2015-01-14,30,2015-01-22,0,2015-02-17
2012,16,82,XX,180,159,27,30,2013-07-11,27,2013-06-12,31,2013-06-20,24,2013-09-05,28,2013-07-03,0,2013-02-05,23,2014-09-23,18,2014-07-31,28,2014-01-22,30,2014-02-04,30,2014-06-16,25,2014-02-05,22,2014-07-24,29,2015-01-26,26,2015-06-08,26,2015-07-27,0,0,30,2015-01-14,30,2015-02-09,0,2015-02-17
2012,16,75,LS,135,129,26,30,2013-09-19,30,2015-09-14,27,2014-02-04,28,2013-07-18,23,2014-02-05,0,2015-04-14,30,2015-01-16,18,2014-07-23,30,2014-06-05,19,2014-02-04,27,2014-09-11,22,2014-07-14,0,0,24,2016-01-29,0,0,0,0,0,0,26,2015-01-20,30,2016-02-15,0,2015-02-17
2012,16,92,IT,180,159,26,31,2013-06-21,25,2013-07-08,27,2013-07-18,28,2013-07-18,24,2013-06-12,0,2013-04-16,27,2014-05-20,28,2014-09-16,30,2014-01-22,23,2014-02-04,24,2014-06-25,27,2014-01-08,21,2016-01-29,28,2014-07-17,26,2015-07-07,21,2015-09-11,0,0,22,2015-01-14,26,2015-01-27,0,2015-02-17
2012,12,67,IT,36,36,23,18,2014-01-20,0,0,24,2014-02-04,27,2013-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,14,78,IT,156,153,26,26,2014-01-20,28,2014-02-28,28,2014-02-04,27,2013-07-18,28,2014-09-10,0,0,25,2014-02-13,28,2014-09-16,25,2015-07-13,26,2015-03-04,27,2015-09-17,26,2014-02-05,27,2016-01-29,22,2014-09-24,21,2015-06-22,30,2016-02-24,0,0,26,2015-06-22,28,2015-01-27,0,2015-09-04
2012,18,70,IT,27,24,28,25,2013-06-21,0,0,31,2013-07-18,0,0,0,0,0,2013-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,20,70,IT,135,129,26,30,2013-06-20,25,2013-09-19,30,2013-06-20,29,2014-01-24,20,2013-09-12,0,2013-04-09,24,2015-06-15,0,0,30,2014-07-16,28,2014-02-24,28,2014-09-17,22,2014-06-26,0,0,22,2014-09-17,0,0,0,0,0,0,27,2015-09-16,25,2015-01-13,0,2016-02-16
2012,13,61,LS,159,153,25,30,2013-07-26,29,2015-06-16,20,2014-02-04,22,2013-09-05,26,2015-01-21,0,2013-12-10,24,2014-01-16,18,2014-07-23,28,2015-02-16,20,2014-10-21,22,2014-09-17,29,2014-07-14,27,2016-01-29,23,2015-09-16,23,2015-06-08,0,0,0,0,25,2015-02-26,26,2016-02-04,0,2015-09-04
2012,10,100,XX,120,117,23,28,2013-07-26,19,2015-07-14,26,2013-07-31,21,2013-09-05,20,2015-09-09,0,0000-00-00,0,0,18,2014-07-23,30,2014-06-05,18,2014-06-18,23,2015-07-24,24,2014-07-14,0,0,25,2016-02-25,0,0,0,0,0,0,18,2015-02-11,0,0,0,2015-01-20
2012,10,68,LS,27,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
